channel,priority
pamfilovets,0.0
kvmalofeev,0.0
Prigozhin_hat,0.0
tsibulya_ua,0.0
ntvnews,0.0
KlgMechta,0.0
compromatinfo,0.0
bloodypr,0.0
ruarbitr,0.0
This_is_Goncharov,0.0
spletnicia,0.0
ATC_ATC,0.0
Natan_tut,0.0
presssporno,0.0
crime,0.0
africanists,0.0
Whoegoznaet,0.0
heroesletters,0.0
doctor_edet,0.0
sncmag,0.0
karaulny_accountant,0.0
kstati_p,0.0
planerka_org,0.0
greengeneration2020,0.0
khodorkovski,0.0
telepulse,0.0
CurrentPolicy,0.0
nastyarybkalive,0.0
televisport,0.0
religiontoday,0.0
eshnic,0.0
vyborka,0.0
bessonni,0.0
odinokayakoko,0.0
vladimirlegoyda,0.0
Derwish661,0.0
chekaem,0.0
TeamRF,0.0
baryshnyasmolny,0.0
moldovaelections,0.0
cultras,0.0
supervhs,0.0
vostp,0.0
IronDrovosek,0.0
american_s_pie_s,0.0
ktoslivaet,0.0
myasorubka_everyday,0.0
wakandaeveryday,0.0
ratings,0.0
confidentiel,0.0
bulkamulka,0.0
emicsru,0.0
AmurInsider,0.0
live_in_ukraine,0.0
moika78,0.0
posle_slujbi,0.0
regdurdom,0.0
zayats_pts,0.0
solarstorm,0.0
biloedrema,0.0
sloboda_slova,0.0
ukraineneveragain,0.0
strashniyzhuz,0.0
heliman86,0.0
firstnose,0.0
Zlbb_eco,0.0
cats_cats,0.0
aavst55,0.0
gotfrik,0.0
russiaelections,0.0
huepub,0.0
moskvavakansi,0.0
Crexcrexcrex,0.0
res_publica,0.0
whisky_at_the_jar,0.0
malzoffsgallery,0.0
minaevlife,0.0
Rabinovich_TV,0.0
kolezev,0.0
shrewd_hedgehog,0.0
rudniki,0.0
Heath_Ledger_media,0.0
WhiteHouseCards,0.0
politota_plus,0.0
Tvnetflix,0.0
clickordie,0.0
arno2you,0.0
club4internet,0.0
zhabaigaduka,0.0
bitkogan,0.0
champagneinmonaco,0.0
HypeAntihype,0.0
digitaloutrage,0.0
norilskmamont,0.0
politpuzzlenews,0.0
cosmeticaphilia,0.0
piterskiybug,0.0
rotondamedia,0.0
anekru,0.0
CapAdecvate,0.0
chetoday,0.0
rcktme,0.0
polimouse,0.0
person_from_the_list,0.0
istoch,0.0
nameisbroken,0.0
meduzalive,0.0
webae,0.0
i_kant,0.0
GoodNewsFromRussia,0.0
tg_analytics,0.0
redmachineru,0.0
munzilka,0.0
funandprofit,0.0
zencriminal,0.0
todotogomoscow,0.0
dadimon,0.0
historyporn,0.0
whoisaynrand,0.0
navalny,0.0
vestniki,0.0
nefeldman,0.0
bobrakovtimoshkin,0.0
corpconflicts,0.0
axaxanakanecta,0.0
pod_kolpak,0.0
elidoc0rc,0.0
Kruchok,0.0
kostromatch_news,0.0
TrueYarosh,0.0
HouseOfCardsEurope,1.0
Znaeteli,0.0
elkincartoon,0.0
rusklad,0.0
MosNov,0.0
litreevsays,0.0
shtykinapro,0.0
untold_channel,0.0
tverskoyaa,0.0
ru_FTP,1.0
rationalnumbers,0.0
mudak,1.0
lentachold,0.0
ManzalLj,0.0
kazdalewski,0.0
theobjectivist,0.0
tvrain,0.0
team_ru,0.0
varlamov,1.0
voenacher,1.0
kirasazonova,1.0
surf_noise1,1.0
vasyunin,1.0
sddonbassa,1.0
belvestnik,1.0
newsfrontnotes,1.0
OpenUkraine,1.0
cyber_Mip,1.0
peaceforukraine,1.0
ChDambiev,1.0
svarschiki,1.0
anna_news,1.0
nm_dnr,1.0
just_visotskiy,1.0
SMERSHDPR,0.0
millnr,1.0
awaken_dragon,0.0
mid_lnr,1.0
dadzibao,0.0
Ratnik2nd,1.0
underside_org,0.0
dtlive,1.0
msgazdiev,2.0
balkan_spy,2.0
metelskiy_moscow,2.0
kuzbassinfo,2.0
npo_dvina,1.0
Club2050,2.0
RealVerse,0.0
depregion,0.0
PrognozyVK,2.0
dimonundmir,1.0
ovchapriest,3.0
partizan1944,0.0
pbdsu,3.0
terem_teremok,1.0
RusCanuckThoughts,2.0
USSR_LOVE,3.0
angry_opposum,0.0
avdjugin,3.0
sputnikKZ,2.0
orda_kz,3.0
nuhachrus,0.0
paragnomen,0.0
vzglyad_ru,1.0
zametkivolanda,3.0
Rogatkinlive,3.0
hedgehog_red,3.0
vladimir_timakov,2.0
pavelostrovski,0.0
chadayevru,2.0
GusyAndrew,2.0
youzhno,1.0
Generalnote,1.0
turkeyabout,3.0
svezhesti,2.0
kshulika,2.0
murashko_med,3.0
olegderipaska,0.0
logdecr,3.0
vivechorko,0.0
daokedao,0.0
vestiru24,1.0
sovestdagestana,3.0
mariabutina,2.0
btr80,2.0
avatkov,1.0
rusmonstr,1.0
grishkafilippov,2.0
breegtime,1.0
talipovonline,1.0
chrisma_center,0.0
nationkurs,1.0
kartezianec,4.0
durov_russia,3.0
Alekhin_Telega,1.0
space78125,0.0
pravblog1,0.0
podled,2.0
parstodayrussian,1.0
boilingmephi,3.0
plus_or_minus,1.0
sskarnaukhov,2.0
sputnikaf,2.0
alexey_pushkov,2.0
republic_tv,1.0
frantic_easel,1.0
lentadnya,1.0
Prikhodko1970,1.0
zvezdanews,2.0
SEVASTOP0L,1.0
zakharprilepin,1.0
Narco4K,2.0
MID_Russia,1.0
bbcrussian,0.0
TheLeagueOfGentlemen,1.0
chinavideoroom,0.0
aleksandr_skif,1.0
redeurasia,2.0
KotNaMirotvorze,1.0
thegraschenkov,0.0
yakemenko,2.0
dagranovsky,2.0
shitandsable,2.0
mamonovofficial,0.0
Lekarzp,0.0
courier_fight,0.0
rombnews,0.0
ua_sbu,1.0
opernn,2.0
rus_demiurge,2.0
golosmordora,2.0
RuBalkans,2.0
rossotrudnichestvo,2.0
omon_piter,2.0
antiraskol,0.0
borotba,1.0
nkamnev,0.0
The_Kyva,1.0
olegmichailov,0.0
readovkanews,1.0
za_OMON,2.0
udaltsov1977,3.0
astrakhan_tank,3.0
truekpru,1.0
crimsondigest,1.0
shuohuaxia,2.0
igor_korotchenko,1.0
ru_global,2.0
MaxBuzhanskiy,0.0
tpolit,0.0
tolk_tolk,2.0
mihalych67,1.0
mrvozni,2.0
nstarikovru,1.0
ruporprav,1.0
nichtdiewanga,1.0
aviator_help,0.0
adelimkhanov_95,0.0
realprilepin,0.0
damir_fattakhov,4.0
burrowingowl,2.0
sorok40russia,1.0
knyaz_cherkasky,1.0
forbesrussia,0.0
micromedia666,0.0
dobr_rus,1.0
omontv,1.0
RKadyrov_95,1.0
Kadyrov_95,1.0
Daudov_088,1.0
nunafigotdimona,0.0
inosmichannel,2.0
apleonkov,2.0
reifert,1.0
lenamiro,0.0
Kriminal_Kavkaz,1.0
iikhu,1.0
WarDonbass,1.0
ArmenianVendetta,0.0
fighter_bomber,2.0
politsputnik,2.0
bigtransfer2024,2.0
infoteka24,3.0
reartsakh,2.0
surf_noise,1.0
Felix_Dz,1.0
ASupersharij,1.0
highlylikely20,2.0
Oleg_Blokhin,2.0
juchkovsky,2.0
mnogonazi,1.0
bazabazon,2.0
nexta_live,0.0
Sergey_Belous,2.0
informburo_sfd,1.0
alex_voznesensky,2.0
gonnabeworse,0.0
regionalny,2.0
RealdocProductions,2.0
kondrotenko_art,1.0
Patriarchrabochayagruppa,0.0
youlistenedmayak,2.0
shargunov,0.0
MAYDNR,1.0
vsutyrin,3.0
CenterCIGR,2.0
sturmanvnebe,0.0
plutovstvo007,2.0
iarexru,1.0
infovirusa,2.0
volz_byhar,2.0
Contora_Pishet,1.0
realtribune,1.0
abyssos,3.0
oversized_shirts,1.0
amiram_grigorov,0.0
goldstein_channel,2.0
FoRGO_official,1.0
cikrf,0.0
ironzek,2.0
abonnews,3.0
livenec,2.0
obrazbuduschego,0.0
dontel,1.0
kontora_kontora,0.0
qashqul,2.0
Elena_Lukash,1.0
MakarenkoLive,0.0
notmythought,0.0
razvedinfo,2.0
podmoskvi4,3.0
bestlongreads,0.0
moskvich,0.0
voenvz,0.0
medialogia,0.0
ykt2100,2.0
Ravreba,2.0
rozyskRI,2.0
DNR_SCKK,1.0
hasansofan,3.0
cosmossecrets,0.0
guziev,1.0
operline_ru,1.0
cryptamanuscripta,0.0
capt404,0.0
directorate4,1.0
persidentsobchak,0.0
lineofconduct,0.0
skazzzka,0.0
rufuturism,1.0
dkdshu,0.0
vneshpol,2.0
tglive,0.0
DurovTV,0.0
BuninCo,2.0
